Usuario,Puntuación_influence,Seguidores,Media_likes,Posts,Tasa_interacción_60d,Media_Likes_Post_Nuevo,Total_Likes,País,Idioma_principal
justintimberlake,87.0,72.1m,602.4k,734,0.4%,308.3k,442.2m,Estados Unidos,Inglés
433,79.0,69.4m,960.8k,13.2k,1.3%,880.7k,12.7b,Holanda,Inglés
jacquelienefernandez,85.0,68.6m,1.1m,2.6k,1.2%,791.0k,2.7b,India,Inglés
theweeknd,83.0,68.1m,1.3m,939,1.6%,1.1m,1.2b,Canada,Inglés
marvel,82.0,67.9m,319.4k,8.3k,0.2%,111.2k,2.6b,Turquía,Inglés
beingsalmankhan,76.0,67.2m,1.5m,1.4k,1.4%,937.1k,2.2b,India,Inglés
camila_cabello,77.0,67.1m,1.8m,3.0k,1.2%,810.5k,5.3b,Estados Unidos,Inglés
karolg,83.0,67.0m,4.0m,3.3k,6.8%,4.5m,13.1b,India,Español
akshaykumar,85.0,66.7m,1.3m,2.2k,0.8%,503.8k,2.8b,India,Inglés
tomholland2013,77.0,66.5m,5.3m,1.2k,6.1%,4.0m,6.6b,Reino Unido,Inglés
marcelotwelve,86.0,66.0m,709.0k,2.9k,0.9%,616.1k,2.1b,Brasil,Portugés
anushkasharma,85.0,65.9m,2.1m,1.3k,2.5%,1.6m,2.7b,India,Inglés
psg,86.0,65.7m,514.0k,10.1k,0.2%,118.0k,5.2b,Francia,Inglés
anitta,82.0,64.8m,858.6k,5.4k,1.0%,639.3k,4.6b,Estados Unidos,Español
willsmith,82.0,64.6m,1.3m,1.5k,0.9%,552.7k,2.0b,Estados Unidos,Inglés
iamzlatanibrahimovic,86.0,63.9m,1.4m,973,0.8%,515.5k,1.3b,Suecia,Inglés
maluma,84.0,63.8m,1.2m,160,2.1%,1.3m,185.2m,Colombia,Español
milliebobbybrown,80.0,63.6m,4.0m,389,2.0%,1.3m,1.5b,Estados Unidos,Inglés
manchesterunited,85.0,63.2m,394.2k,9.5k,0.4%,223.5k,3.8b,Reino Unido,Inglés
mosalah,22.0,63.0m,1.7m,939,2.2%,1.4m,1.6b,Egipto,Inglés
thv,88.0,62.5m,15.4m,107,13.4%,8.4m,1.7b,Corea del Sur,Inglés
zacefron,86.0,61.9m,2.2m,688,1.7%,1.1m,1.5b,Estados Unidos,Inglés
leonardodicaprio,86.0,61.9m,353.1k,1.9k,0.2%,100.4k,656.0m,Estados Unidos,Inglés
sergioramos,87.0,61.6m,1.2m,2.5k,1.9%,1.2m,2.9b,España,Español
paulpogba,80.0,61.5m,1.3m,1.4k,0.0%,0,1.8b,Francia,Inglés
bellahadid,79.0,61.1m,1.2m,478,3.9%,2.4m,575.8m,Reino Unido,Inglés
dishapatani,74.0,60.2m,1.5m,2.1k,0.9%,563.8k,3.2b,Estados Unidos,Inglés
juventus,87.0,59.9m,168.9k,9.9k,0.2%,90.9k,1.7b,Italia,Inglés
whinderssonnunes,79.0,59.7m,1.5m,3.0k,0.9%,517.9k,4.5b,Brasil,Portugés
chrishemsworth,86.0,57.8m,2.2m,1.0k,1.4%,791.6k,2.3b,Australia,Inglés
